City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Naliya,23.27,68.83,80.78,82,41,11.61,IN,1600988218
Pisco,-13.7,-76.22,66.2,72,13,19.46,PE,1600987925
Durban,-29.86,31.03,66.99,87,28,1.12,ZA,1600988218
Vila Franca do Campo,37.72,-25.43,66.2,68,75,10.29,PT,1600987847
Kununurra,-15.77,128.73,77.0,94,65,3.36,AU,1600987856
Havre-St-Pierre,50.23,-63.6,48.2,81,90,6.93,CA,1600987953
Agogo,6.8,-1.08,70.34,100,99,3.53,GH,1600988219
Chambersburg,39.94,-77.66,70.0,66,55,5.19,US,1600988219
Gori,41.98,44.12,61.23,72,44,5.82,GE,1600988220
Senanga,-16.12,23.27,68.05,30,0,5.37,ZM,1600988220
Telimele,10.92,-13.33,70.63,100,100,2.15,GN,1600988220
Ambon City,-3.7,128.18,77.0,94,40,4.7,ID,1600987784
Saint Anthony,45.02,-93.22,75.99,56,20,5.82,US,1600988221
Krasnozerskoye,53.98,79.24,42.67,92,100,5.14,RU,1600988221
Port-Gentil,-0.72,8.78,77.0,88,40,11.21,GA,1600987903
Hambantota,6.12,81.12,80.58,79,100,14.07,LK,1600988221
Camocim,-2.9,-40.84,76.98,78,0,11.63,BR,1600987925
Cap Malheureux,-19.98,57.61,64.99,76,51,3.0,MU,1600988222
Fortuna,40.6,-124.16,71.01,72,20,13.87,US,1600987951
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,65,3,6.71,RU,1600987830
San Miguel de Tucumán,-26.82,-65.22,93.2,30,77,19.46,AR,1600987934
Antri,26.06,78.21,75.4,84,12,5.48,IN,1600988223
Gigmoto,13.78,124.39,81.27,80,99,5.57,PH,1600988223
Vernon,50.26,-119.27,64.0,47,99,5.01,CA,1600988003
Ilulissat,69.22,-51.1,28.4,42,2,4.7,GL,1600988190
Ontario,34.06,-117.65,95.0,16,1,11.41,US,1600988224
Puerto del Rosario,28.5,-13.86,77.0,88,11,10.29,ES,1600988194
Hammerfest,70.66,23.68,41.0,70,89,5.82,NO,1600988224
Carnarvon,-24.87,113.63,59.0,100,13,1.12,AU,1600987866
Nyurba,63.28,118.33,38.39,79,1,7.36,RU,1600988225
Westerland,54.91,8.3,55.4,82,84,9.17,DE,1600988225
Tiksi,71.69,128.87,41.92,74,1,7.83,RU,1600987931
Harper,4.38,-7.72,75.87,90,84,8.57,LR,1600987901
Pierre,44.37,-100.35,82.4,32,1,14.99,US,1600988102
Vila Velha,-20.33,-40.29,75.99,83,75,5.82,BR,1600987935
Christchurch,-43.53,172.63,69.01,39,3,11.41,NZ,1600987998
Tessalit,20.2,1.01,90.03,13,0,8.68,ML,1600987916
Ugoofaaru,5.67,73.0,81.14,80,100,12.26,MV,1600987978
Suleja,9.18,7.18,75.2,83,40,2.17,NG,1600988226
Denpasar,-8.65,115.22,78.8,100,40,1.12,ID,1600988227
Iqaluit,63.75,-68.51,33.8,86,90,8.05,CA,1600987902
Sarangani,5.4,125.46,83.89,72,93,7.81,PH,1600988227
Fayetteville,35.05,-78.88,73.99,60,1,4.7,US,1600987997
Tura,25.52,90.22,73.78,98,99,5.53,IN,1600987967
Gaspar,-26.93,-48.96,68.0,88,51,6.93,BR,1600988228
Alta Floresta,-9.88,-56.09,74.46,84,78,3.91,BR,1600987759
Bundaberg,-24.85,152.35,77.0,78,90,6.93,AU,1600988228
Marzuq,14.4,46.47,79.16,42,0,1.45,YE,1600988228
